杆塔区间	距离小号杆塔距离	x	y	z	交跨点类型	水平距离	垂直距离	净空距离	
16-17	562.91	453680.00	2871877.75	1674.68	交跨线	1.32	6.92	7.04	
17-18	474.90	453954.75	2871483.25	1534.59	建筑物	1.93	63.44	63.47	
17-18	300.93	453865.31	2871633.50	1519.71	道路	0.56	94.38	94.38	
17-18	486.94	453962.06	2871473.75	1530.06	道路	1.81	67.84	67.86	
17-18	523.77	453984.47	2871444.50	1554.16	道路	1.06	42.48	42.49	
17-18	525.93	453986.00	2871443.00	1554.06	道路	0.70	42.08	42.09	
17-18	322.68	453877.09	2871615.00	1509.50	河流	0.79	101.38	101.38	
17-18	325.74	453872.59	2871608.00	1509.18	河流	1.29	102.23	102.24	
17-18	331.61	453870.84	2871599.50	1508.47	河流	0.85	102.25	102.25	
17-18	343.96	453877.34	2871589.00	1508.50	河流	1.70	100.76	100.77	
17-18	5.78	453685.09	2871867.25	1672.57	交跨线	0.88	8.30	8.35	
17-18	214.62	453801.50	2871693.75	1554.48	交跨线	1.35	75.05	75.06	
17-18	217.70	453807.00	2871694.00	1553.87	交跨线	0.71	82.69	82.69	
17-18	223.35	453815.16	2871692.75	1552.84	交跨线	1.86	75.19	75.21	
17-18	227.65	453823.00	2871693.25	1552.11	交跨线	1.51	74.27	74.29	
17-18	229.87	453824.53	2871691.50	1551.68	交跨线	1.49	74.01	74.02	
18-19	598.98	454394.09	2870907.25	1610.48	建筑物	1.93	26.64	26.71	
18-19	539.83	454361.56	2870956.75	1593.17	道路	1.61	31.37	31.41	
18-19	549.75	454364.38	2870946.50	1594.59	道路	1.97	32.37	32.43	
18-19	587.78	454375.63	2870907.75	1602.71	道路	1.64	33.46	33.50	
18-19	414.95	454281.00	2871052.75	1515.96	河流	1.15	88.15	88.16	
18-19	417.84	454275.56	2871045.00	1515.53	河流	1.01	89.79	89.80	
18-19	421.84	454283.69	2871046.00	1515.38	河流	0.81	89.62	89.62	
18-19	297.02	454208.56	2871145.75	1570.59	交跨线	1.86	36.50	36.55	
18-19	300.73	454209.72	2871142.00	1571.05	交跨线	0.69	36.29	36.30	
18-19	305.97	454209.63	2871135.50	1571.64	交跨线	0.90	22.14	22.16	
18-19	314.67	454215.50	2871129.00	1572.98	交跨线	0.33	21.50	21.50	
18-19	595.87	454380.94	2870901.50	1612.50	交跨线	0.77	24.78	24.79	
18-19	603.29	454389.00	2870898.25	1614.02	交跨线	1.93	34.27	34.32	
18-19	623.42	454408.06	2870887.25	1619.39	交跨线	1.84	24.18	24.25	
19-20	262.89	454594.03	2870609.00	1673.25	道路	1.86	15.14	15.25	
19-20	62.82	454475.81	2870770.50	1657.54	交跨线	1.60	7.91	8.07	
19-20	78.65	454491.16	2870762.00	1659.23	交跨线	1.68	6.98	7.18	
19-20	92.89	454493.72	2870746.25	1663.95	交跨线	1.91	4.04	4.47	
19-20	94.75	454506.41	2870753.25	1658.48	交跨线	0.56	16.24	16.25	
19-20	107.71	454509.47	2870739.50	1662.11	交跨线	0.59	6.36	6.39	
19-20	122.65	454525.47	2870732.50	1659.58	交跨线	0.88	10.21	10.25	
19-20	125.74	454527.94	2870730.50	1660.89	交跨线	1.73	9.21	9.37	
19-20	322.68	454644.09	2870571.50	1686.84	交跨线	1.54	12.41	12.51	
21-22	92.77	454805.78	2870349.00	1692.80	道路	1.49	17.02	17.09	
22-23	307.82	455003.41	2869843.75	1742.67	道路	1.31	14.83	14.89	
22-23	359.88	455014.31	2869793.00	1751.21	道路	1.86	17.25	17.35	
22-23	310.90	455017.38	2869843.75	1748.86	交跨线	1.86	9.56	9.74	
22-23	369.89	455017.03	2869783.25	1760.75	交跨线	1.48	9.91	10.02	
22-23	397.60	455022.59	2869756.00	1768.94	交跨线	1.99	8.28	8.52	
22-23	421.96	455041.75	2869735.50	1773.90	交跨线	0.85	15.75	15.77	
23-24	273.31	455120.72	2869405.50	1796.70	交跨线	1.71	7.11	7.31	
