¸ËËþÇø¼ä	¾àÀëÐ¡ºÅ¸ËËþ¾àÀë	x	y	z	Î£ÏÕµãÀàÐÍ	Ë®Æ½¾àÀë	´¹Ö±¾àÀë	¾»¿Õ¾àÀë	
13-14	110.00	452557.31	2873243.00	1768.84	Ê÷Ä¾	4.14	3.32	5.31	
13-14	109.52	452557.16	2873243.50	1768.40	Ê÷Ä¾	4.38	3.76	5.77	
13-14	109.50	452557.13	2873243.50	1768.52	Ê÷Ä¾	4.36	3.64	5.68	
13-14	109.35	452556.91	2873243.50	1768.22	Ê÷Ä¾	4.22	3.94	5.77	
13-14	110.00	452557.31	2873243.00	1768.84	Ê÷Ä¾	4.14	3.32	5.31	
13-14	109.52	452557.16	2873243.50	1768.40	Ê÷Ä¾	4.38	3.76	5.77	
13-14	109.50	452557.13	2873243.50	1768.52	Ê÷Ä¾	4.36	3.64	5.68	
13-14	109.35	452556.91	2873243.50	1768.22	Ê÷Ä¾	4.22	3.94	5.77	
13-14	110.72	452558.13	2873242.75	1768.36	Ê÷Ä¾	4.49	3.65	5.79	
13-14	110.47	452557.75	2873242.75	1768.23	Ê÷Ä¾	4.22	3.78	5.67	
13-14	110.29	452557.47	2873242.75	1768.58	Ê÷Ä¾	4.03	3.43	5.29	
13-14	110.10	452557.75	2873243.25	1768.74	Ê÷Ä¾	4.49	3.36	5.61	
13-14	110.06	452557.41	2873243.00	1768.35	Ê÷Ä¾	4.18	3.66	5.55	
13-14	110.20	452557.63	2873243.00	1768.70	Ê÷Ä¾	4.32	3.31	5.44	
13-14	110.72	452558.13	2873242.75	1768.36	Ê÷Ä¾	4.49	3.65	5.79	
13-14	110.47	452557.75	2873242.75	1768.23	Ê÷Ä¾	4.22	3.78	5.67	
13-14	110.29	452557.47	2873242.75	1768.58	Ê÷Ä¾	4.03	3.43	5.29	
13-14	110.10	452557.75	2873243.25	1768.74	Ê÷Ä¾	4.49	3.36	5.61	
13-14	110.06	452557.41	2873243.00	1768.35	Ê÷Ä¾	4.18	3.66	5.55	
13-14	110.20	452557.63	2873243.00	1768.70	Ê÷Ä¾	4.32	3.31	5.44	
13-14	111.37	452556.56	2873240.50	1765.58	µØÃæ	1.88	6.29	6.56	
13-14	111.95	452558.56	2873241.50	1768.47	Ê÷Ä¾	4.00	3.40	5.25	
